Nid,Title,Body,Path,Published,Language,Holiday Date,Holiday Type
370596,Bhai Duj,"Bhai Duj
",/content/bhai-duj-2,1,en,25-10-2014,Restricted
370597,Pratihar Sashthi/Surya Sashthi (Chhat Puja),"Pratihar Sashthi/Surya Sashthi (Chhat Puja)
",/content/pratihar-sashthisurya-sashthi-chhat-puja-2,1,en,29-10-2014,Restricted
370681,Guru Teg Bahadur's Martyrdom Day,"Guru Teg Bahadur's Martyrdom Day
",/content/guru-teg-bahadurs-martyrdom-day-2,1,en,24-11-2014,Restricted
370682,Christmas Eve,"Christmas Eve
",/content/christmas-eve-2,1,en,24-12-2014,Restricted
540000,Maha Navmi,"Maha Navmi
",/content/maha-navmi,1,en,13-10-2013,Restricted
692949,Guru Gobind Singh's Birthday,"Guru Gobind Singh's Birthday
",/content/guru-gobind-singhs-birthday-0,1,en,28-12-2014,Restricted
1121072,Birthday of Dr. B.R. Ambedkar,"Birthday of Dr. B.R. Ambedkar
",/content/birthday-dr-br-ambedkar-0,1,en,14-04-2014,Gazetted
1121074,Vaisakhi/Vishu/Masadi,"Vaisakhi/Vishu/Masadi
",/content/vaisakhivishumasadi,1,en,14-04-2014,Restricted
1133317,Milad-Un-Nabi or Id-E-Milad (Birthday of Prophet Mohammad),"Milad-Un-Nabi or Id-E-Milad (Birthday of Prophet Mohammad)
",/content/milad-un-nabi-or-id-e-milad-birthday-prophet-mohammad-0,1,en,04-01-2015,Gazetted
1133320,Republic Day,"Republic Day
",/content/republic-day-3,1,en,26-01-2015,Gazetted
1133322,Holi,"Holi
",/content/holi-3,1,en,06-03-2015,Gazetted
1133324,Ram Navami,"Ram Navami
",/content/ram-navami-3,1,en,28-03-2015,Gazetted
1133326,Mahavir Jayanti,"Mahavir Jayanti
",/content/mahavir-jayanti-3,1,en,02-04-2015,Gazetted
1133328,Good Friday,"Good Friday
",/content/good-friday-3,1,en,03-04-2015,Gazetted
1133330,Buddha Purnima,"Buddha Purnima
",/content/buddha-purnima-3,1,en,04-05-2015,Gazetted
1133332,Idu'l Fitr,"Idu'l Fitr
",/content/idul-fitr-0,1,en,18-07-2015,Gazetted
1133334,Independence day,"Independence day
",/content/independence-day-11,1,en,15-08-2015,Gazetted
1133336,Janmashtami,"Janmashtami
",/content/janmashtami-0,1,en,05-09-2015,Gazetted
1133340,Id-ul-Zuha(Bakrid),"Id-ul-Zuha(Bakrid)
",/content/id-ul-zuhabakrid-0,1,en,25-09-2015,Gazetted
1133342,Mahatma Gandhi's Birthday,"Mahatma Gandhi's Birthday
",/content/mahatma-gandhis-birthday-0,1,en,02-10-2015,Gazetted
1133344,Dussehra,"Dussehra
",/content/dussehra-0,1,en,22-10-2015,Gazetted
1133346,Muharram,"Muharram
",/content/muharram-3,1,en,24-10-2015,Gazetted
1133349,Diwali (Deepavali),"Diwali (Deepavali)
",/content/diwali-deepavali-3,1,en,11-11-2015,Gazetted
1133351,Guru Nanak's Birthday,"Guru Nanak's Birthday
",/content/guru-nanaks-birthday-0,1,en,25-11-2015,Gazetted
1133353,Milad-Un-Nabi,"Milad-Un-Nabi
",/content/milad-un-nabi-0,1,en,24-12-2015,Gazetted
1133355,Christmas Day,"Christmas Day
",/content/christmas-day-0,1,en,25-12-2015,Gazetted
1133357,New Year's Day,"New Year's Day
",/content/new-years-day-3,1,en,01-01-2015,Restricted
1133359,Makar Sankranti,"Makar Sankranti
",/content/makar-sankranti-2,1,en,14-01-2015,Restricted
1133361,Pongal,"Pongal
",/content/pongal-3,1,en,15-01-2015,Restricted
1133363,Basant Panchami/Sri Panchami,"Basant Panchami/Sri Panchami
",/content/basant-panchamisri-panchami-0,1,en,24-01-2015,Restricted
1133365,Guru Ravidas's Birthday,"Guru Ravidas's Birthday
",/content/guru-ravidass-birthday-0,1,en,03-02-2015,Restricted
1133369,Swami Dayananda Saraswati Jayanti,"Swami Dayananda Saraswati Jayanti
",/content/swami-dayananda-saraswati-jayanti-0,1,en,14-02-2015,Restricted
1133371,Shivaji Jayanti,"Shivaji Jayanti
",/content/shivaji-jayanti-3,1,en,19-02-2015,Restricted
1133373,Holika Dahan,"Holika Dahan
",/content/holika-dahan-0,1,en,05-03-2015,Restricted
1133375,Chaitra Suldadi/Gudi Padava/Ugadi/Cheti Chand,"Chaitra Suldadi/Gudi Padava/Ugadi/Cheti Chand
",/content/chaitra-suldadigudi-padavaugadicheti-chand-0,1,en,21-03-2015,Restricted
1133377,Easter Sunday,"Easter Sunday
",/content/easter-sunday-0,1,en,05-04-2015,Restricted
1133379,Vaisakhi/Vishu/Masadi,"Vaisakhi/Vishu/Masadi
",/content/vaisakhivishumasadi-0,1,en,14-04-2015,Restricted
1133381,Vaisakhadi(Bengal)/Bahag Bihu (Assam),"Vaisakhadi(Bengal)/Bahag Bihu (Assam)
",/content/vaisakhadibengalbahag-bihu-assam-0,1,en,15-04-2015,Restricted
1133383,Hazarat Ali's Birthday,"Hazarat Ali's Birthday
",/content/hazarat-alis-birthday-3,1,en,03-05-2015,Restricted
1133385,Guru Rabindranath's birthday,"Guru Rabindranath's birthday
",/content/guru-rabindranaths-birthday-3,1,en,09-05-2015,Restricted
1133387,Jamat-Ul-Vida,"Jamat-Ul-Vida
",/content/jamat-ul-vida-3,1,en,17-07-2015,Restricted
1133389,Rath Yatra,"Rath Yatra
",/content/rath-yatra-3,1,en,18-07-2015,Restricted
1133396,Parsi New Year's day/Nauroz,"Parsi New Year's day/Nauroz
",/content/parsi-new-years-daynauroz-0,1,en,18-08-2015,Restricted
1133399,Onam,"Onam
",/content/onam-3,1,en,28-08-2015,Restricted
1133401,Raksha Bandhan,"Raksha Bandhan
",/content/raksha-bandhan-2,1,en,29-08-2015,Restricted
1133404,Vinayaka Chaturthi/Ganesh Chaturthi,"Vinayaka Chaturthi/Ganesh Chaturthi
",/content/vinayaka-chaturthiganesh-chaturthi-1,1,en,17-09-2015,Restricted
1133406,Dussehra (Maha Saptami) (Additional),"Dussehra (Maha Saptami) (Additional)
",/content/dussehra-maha-saptami-additional-0,1,en,20-10-2015,Restricted
